timestamp,placer,benchmark,status,exit_code,runtime_seconds,proxy,wirelength,density,congestion,overlaps,log
2026-05-01T10:55:07-04:00,submissions/hard_macro_lns_quick_placer.py,ibm01,ok,0,8,1.0385,0.064,0.812,1.137,0,sweep_logs/20260501_105459/submissions__hard_macro_lns_quick_placer__ibm01.log
2026-05-01T10:55:18-04:00,submissions/hard_macro_lns_quick_placer.py,ibm02,ok,0,11,1.5658,0.075,0.729,2.254,0,sweep_logs/20260501_105459/submissions__hard_macro_lns_quick_placer__ibm02.log
2026-05-01T10:57:20-04:00,submissions/hard_macro_lns_quick_placer.py,ibm03,ok,0,122,1.3202,0.080,0.724,1.758,0,sweep_logs/20260501_105459/submissions__hard_macro_lns_quick_placer__ibm03.log
2026-05-01T10:57:35-04:00,submissions/hard_macro_lns_quick_placer.py,ibm04,ok,0,15,1.3134,0.071,0.782,1.704,0,sweep_logs/20260501_105459/submissions__hard_macro_lns_quick_placer__ibm04.log
2026-05-01T10:59:28-04:00,submissions/hard_macro_lns_quick_placer.py,ibm06,ok,0,113,1.6592,0.064,0.725,2.466,0,sweep_logs/20260501_105459/submissions__hard_macro_lns_quick_placer__ibm06.log
2026-05-01T11:02:23-04:00,submissions/hard_macro_lns_quick_placer.py,ibm07,ok,0,175,1.4725,0.066,0.815,1.999,0,sweep_logs/20260501_105459/submissions__hard_macro_lns_quick_placer__ibm07.log
2026-05-01T11:02:56-04:00,submissions/hard_macro_lns_quick_placer.py,ibm08,ok,0,33,1.4664,0.068,0.816,1.980,0,sweep_logs/20260501_105459/submissions__hard_macro_lns_quick_placer__ibm08.log
2026-05-01T11:03:32-04:00,submissions/hard_macro_lns_quick_placer.py,ibm09,ok,0,36,1.1127,0.057,0.836,1.275,0,sweep_logs/20260501_105459/submissions__hard_macro_lns_quick_placer__ibm09.log
2026-05-01T11:08:08-04:00,submissions/hard_macro_lns_quick_placer.py,ibm10,ok,0,276,1.3367,0.067,0.668,1.870,0,sweep_logs/20260501_105459/submissions__hard_macro_lns_quick_placer__ibm10.log
2026-05-01T11:09:24-04:00,submissions/hard_macro_lns_quick_placer.py,ibm11,ok,0,76,1.2133,0.054,0.863,1.456,0,sweep_logs/20260501_105459/submissions__hard_macro_lns_quick_placer__ibm11.log
2026-05-01T11:13:20-04:00,submissions/hard_macro_lns_quick_placer.py,ibm12,ok,0,236,1.6251,0.059,0.767,2.365,0,sweep_logs/20260501_105459/submissions__hard_macro_lns_quick_placer__ibm12.log
2026-05-01T11:14:59-04:00,submissions/hard_macro_lns_quick_placer.py,ibm13,ok,0,99,1.3843,0.054,0.888,1.773,0,sweep_logs/20260501_105459/submissions__hard_macro_lns_quick_placer__ibm13.log
2026-05-01T11:22:04-04:00,submissions/hard_macro_lns_quick_placer.py,ibm14,ok,0,425,1.5939,0.052,0.964,2.120,0,sweep_logs/20260501_105459/submissions__hard_macro_lns_quick_placer__ibm14.log
2026-05-01T11:24:36-04:00,submissions/hard_macro_lns_quick_placer.py,ibm15,ok,0,152,1.6030,0.058,0.930,2.159,0,sweep_logs/20260501_105459/submissions__hard_macro_lns_quick_placer__ibm15.log
2026-05-01T11:37:23-04:00,submissions/hard_macro_lns_quick_placer.py,ibm16,ok,0,767,1.4883,0.049,0.821,2.057,0,sweep_logs/20260501_105459/submissions__hard_macro_lns_quick_placer__ibm16.log
2026-05-01T11:46:47-04:00,submissions/hard_macro_lns_quick_placer.py,ibm17,ok,0,564,1.7395,0.053,0.946,2.426,0,sweep_logs/20260501_105459/submissions__hard_macro_lns_quick_placer__ibm17.log
2026-05-01T11:47:18-04:00,submissions/hard_macro_lns_quick_placer.py,ibm18,ok,0,31,1.7864,0.053,1.040,2.426,0,sweep_logs/20260501_105459/submissions__hard_macro_lns_quick_placer__ibm18.log
